ANNUAL_SALES,IN_DEFAULT,LGD_EFFECTIVE,BALANCE,RETURN_ON_ASSETS,DEBT_SRV_CVR_RATIO,CASH_INT_CVR_RATIO,DEBT_DEBT_EQ_RATIO,CASH_FLOW_OP_LIAB,EBITDA_VOLATILITY,NET_WORTH_CPI,NEGATIVE_NPAT_FLAG,MARKET_POSITION,LONG_RUN_AVERAGE_PD
201155582.0,False,60.32,39616.13,-0.034790852,0.7406291301,9.600117217,0.786715851,0.0612390229,0.0,6.899188195,True,0,0.0303406937
1522100000.0,False,60.32,117561.63,0.0422121717,0.0,3.295249056,0.2890359795,0.8023872042,0.0,8.847155337,False,3,0.0024386606
49765421.0,False,60.32,4793327.74,0.0608839657,0.0,1.934060977,0.8500539338,0.01810406,0.0,5.757692996,False,0,0.0385953881
100121596.0,False,0.0,0.0,0.193998923,0.0,7.611204986,1.0,0.2583063995,1.0,4.9506995,False,5,0.0276753763
100121596.0,False,60.32,33200.12,0.193998923,0.0,7.611204986,1.0,0.2583063995,1.0,4.9506995,False,5,0.0276753763
97774487.0,False,60.32,71009.47,0.1378892838,0.0,248.6865413,0.1519987622,0.2090153442,0.0,6.990274525,False,3,0.0067685435
43863551.0,False,60.32,771409.27,0.1502304471,0.0,26.91673765,0.1907825884,0.2423082342,-1.0,7.006440984,False,0,0.0061862579
9960100000.0,False,60.32,1128.6,0.030871038,0.0,4.329706443,0.4488121723,0.2196544963,1.0,9.355521072,False,4,0.0123105496
9960100000.0,True,47.09,2587.92,0.030871038,0.0,4.329706443,0.4488121723,0.2196544963,1.0,9.355521072,False,4,0.0123105496
9960100000.0,False,60.32,49576.53,0.030871038,0.0,4.329706443,0.4488121723,0.2196544963,1.0,9.355521072,False,4,0.0123105496
9960100000.0,False,60.32,20122.46,0.030871038,0.0,4.329706443,0.4488121723,0.2196544963,1.0,9.355521072,False,4,0.0123105496
221124232.0,False,60.32,2139.31,0.1081716599,0.0,231.2502466,0.0,0.122122212,1.0,7.811971137,False,1,0.0061033057
221124232.0,False,60.32,3410.96,0.1762726782,0.0,6.569467066,0.0,0.1282204668,-1.0,7.757614497,False,1,0.0058517585
71993000.0,False,58.48701676,5205032.74,0.1007049775,1.544903636,3.084034341,0.7317310629,0.0,-1.0,4.9506995,False,0,0.0306000433
108143889.0,False,60.32,31145.8,0.0301327748,0.0,7.233926486,0.8917273993,0.2869903694,-1.0,6.836316569,False,4,0.0183950749
56713000.0,False,39.35600874,3487674.0,0.0858629196,0.0,6.21008755,0.3794270612,0.0,0.0,6.844213349,False,2,0.0220000243
92513000.0,False,59.98798644,6204796.86,0.1513749338,0.0,4.489911368,0.8430715256,0.0,-1.0,5.852632892,False,1,0.0280473704
92513000.0,False,59.98798644,6204796.86,0.0759801863,0.0,2.563049844,0.8678567018,0.0,-1.0,6.354026918,False,1,0.0291639378
92513000.0,False,50.76681562,10117581.04,-0.01760227,0.0,1.984968751,0.8258933109,0.0,0.0,6.138939631,True,0,0.0553362916
92513000.0,False,60.32,501332.69,0.0759801863,0.0,2.563049844,0.8678567018,0.0,-1.0,6.354026918,False,1,0.0291639378
73845000.0,False,60.32,138236.33,0.0130718954,0.0,2.922947625,0.8680040832,0.0,0.0,7.044766516,False,2,0.0316886996
61153683.0,False,60.32,96764.93,0.1168957378,0.0,5.969258511,0.6532645182,0.2626318675,-1.0,6.766446745,False,1,0.0147561819
683616000.0,False,60.32,415092.74,0.0232189624,3.282481722,7.213338248,0.0,0.0129474217,0.0,8.281019691,False,4,0.0056604359
53567000.0,False,60.32,281000.0,0.0495648325,1.809260078,2.481371021,0.6087818486,0.0,0.0,6.47762505,False,0,0.0271447183
265719000.0,False,34.66,8119999.99,0.0621675739,2.383136806,6.670519857,0.8553041198,0.0,1.0,6.099678237,False,1,0.0407912675
265719000.0,False,34.66,8119999.99,0.0602463531,2.122381018,4.429429906,0.8562587171,0.0,0.0,6.733294074,False,2,0.0326810342
265719000.0,False,52.622,2525372.41,0.0304865549,1.842005366,4.043245001,0.9569177043,0.0,0.0,5.870407981,False,1,0.0471756695
265719000.0,False,52.622,2525372.41,0.1112299603,0.0,5.55176081,0.8637016335,0.0,0.0,6.717249436,False,3,0.0255335994
121617000.0,False,34.66,3437252.69,0.0764939322,0.0,2.875274553,0.6339854952,0.0,-0.666666667,6.653472118,False,1,0.0260805985
121617000.0,False,47.09431062,1901927.75,0.0640242574,1.169525649,2.125635902,0.6908233406,0.0,-0.333333333,6.577672885,False,0,0.0409035215
85170275.0,False,60.32,23106.47,-0.187185077,0.4449165359,1.056292182,0.7754102832,0.0100507007,2.0,4.9506995,True,2,0.1532330674
85170275.0,False,60.32,23106.47,-0.086874135,0.0,4.32120891,0.5580396852,0.0497184211,0.0,6.440638324,True,3,0.0291405924
73927714.0,False,60.32,32641.44,0.219900968,0.0,7.313348849,0.5578436377,0.2343698016,-1.0,7.155415825,False,3,0.0095786788
2450600000.0,False,60.32,131480.16,0.0503436833,0.0,5.815566116,0.4180528151,0.1507154097,1.0,8.350483632,False,0,0.0082000022
