Gender,Age,Сredit_sum,Currency,Term_of_crediting_in day,Interest rate_%,Duration_of_stay_in_a_sity ,Maritial_status,Children,Job_position,Tenure_with_current_employer,Term_of_existence_of_enterprise,Company_type,Number_of_employees_in_kompany ,Income_customer,Costs_customer,goal_credit,Result
Female,27,850,UAH,360,18,24_60,SINGLE,c0,PE,24_60,24_60,FS,100_9999,674,362,consumer_credit,good
Male,35,400,USD,240,12,24_60,SINGLE,c0,AS,24_60,24_60,FMG,51_100,690,342,consumer_credit,bad
Male,43,2750,UAH,240,14,24_60,MARRIED,c1,AS,12_18,12_24,OT,31_50,1588,767,consumer_credit,good
Male,43,15000,USD,1800,15,60_120,MARRIED,c1,TM,24_60,24_60,OT,0_5,4869,800,consumer_credit,bad
Male,28,2500,UAH,1080,18,60_120,SINGLE,c0,PE,0_3,0_12,FS,100_9999,637,382,consumer_credit,good
Female,29,2215,UAH,360,18,60_120,SINGLE,c0,AS,0_3,120_9999,FS,100_9999,745,355,consumer_credit,good
Female,38,54600,UAH,1800,20,120_9999,MARRIED,c0,TM,60_120,60_120,WB,31_50,3648,730,flat,good
Male,33,200,USD,90,14,120_9999,MARRIED,c0,AS,0_3,0_12,OT,0_5,960,382,consumer_credit,bad
Male,37,16220,UAH,1800,19,120_9999,MARRIED,c2,TM,60_120,60_120,WB,31_50,8000,3528,flat,good
Female,38,8100,UAH,1080,22,120_9999,SINGLE,c0,AS,24_60,24_60,EC,51_100,844,382,consumer_credit,good
Female,32,6000,UAH,1080,18,120_9999,MARRIED,c0,AS,12_18,12_24,FS,51_100,809,382,consumer_credit,bad
Male,43,2500,USD,1080,12,120_9999,MARRIED,c0,AS,24_60,24_60,FS,51_100,1152,382,consumer_credit,good
Male,37,800,USD,1080,12,120_9999,MARRIED,c0,AS,12_18,12_24,FS,51_100,709,382,consumer_credit,good
Male,47,800,USD,1080,12,120_9999,MARRIED,c0,AS,24_60,24_60,OT,100_9999,2494,382,consumer_credit,bad
Female,41,2500,USD,1080,12,120_9999,MARRIED,c0,AS,24_60,24_60,OT,31_50,3000,382,consumer_credit,good
Female,40,2000,UAH,90,26,120_9999,MARRIED,c0,AS,24_60,24_60,OT,31_50,1197,365,consumer_credit,good
Male,49,15000,UAH,2520,20,120_9999,SINGLE,c0,AS,120_9999,120_9999,HI,100_9999,1151,365,flat,good
Female,59,3000,UAH,360,18,120_9999,MARRIED,c0,AS,120_9999,120_9999,FS,51_100,953,365,consumer_credit,good
Female,26,4727,UAH,90,16,60_120,MARRIED,c0,AS,12_18,12_24,FS,51_100,2250,365,consumer_credit,good
Female,52,5010,UAH,60,17,120_9999,SINGLE,c0,TM,0_3,0_12,OT,0_5,3400,365,consumer_credit,good
Female,32,1375,UAH,360,12,120_9999,MARRIED,c1,AS,60_120,60_120,MPP,51_100,828,490,consumer_credit,good
Female,47,1800,UAH,360,26,120_9999,MARRIED,c0,AS,60_120,60_120,HI,51_100,718,350,consumer_credit,good
Female,31,1780,UAH,360,12,120_9999,MARRIED,c1,AS,60_120,60_120,HI,51_100,859,350,consumer_credit,bad
Female,56,4000,USD,720,17,120_9999,MARRIED,c0,AS,120_9999,120_9999,ASTL,100_9999,2390,660,consumer_credit,good
Female,35,3000,UAH,1080,18,120_9999,MARRIED,c1,PE,0_3,60_120,FS,100_9999,754,550,consumer_credit,good
Female,57,3000,UAH,1080,18,120_9999,MARRIED,c0,PE,60_120,60_120,FS,100_9999,278,0,consumer_credit,bad
Male,58,3640,USD,1800,15,120_9999,MARRIED,c0,AS,120_9999,120_9999,OT,100_9999,1280,420,flat,good
Female,25,2500,UAH,10800,18,120_9999,SINGLE,c0,PE,24_60,24_60,FS,51_100,246,0,consumer_credit,good
Female,35,20870,USD,2555,14,12_24,DIVORCED,c1,SP,12_18,12_24,WB,0_5,5430,710,flat,bad
Female,61,7800,UAH,1080,18,120_9999,MARRIED,c0,PE,120_9999,120_9999,OT,51_100,933,382,consumer_credit,good
Female,53,2300,UAH,1080,18,120_9999,MARRIED,c0,PE,120_9999,120_9999,OT,51_100,628,382,consumer_credit,bad
Female,32,3500,UAH,720,18,120_9999,MARRIED,c1,PE,120_9999,120_9999,OT,51_100,926,382,consumer_credit,good
Male,31,60000,UAH,360,22,120_9999,MARRIED,c1,AS,60_120,60_120,OT,51_100,6946,362,consumer_credit,good
Male,25,4000,UAH,1080,18,120_9999,SINGLE,c0,PE,24_60,24_60,FS,100_9999,642,385,consumer_credit,bad
Male,48,20000,USD,2520,15,120_9999,DIVORCED,c1,TM,12_18,12_24,WB,6_15,6463,1350,house,good
Male,55,8000,UAH,1080,18,120_9999,MARRIED,c0,PE,120_9999,120_9999,FS,100_9999,449,0,consumer_credit,bad
Male,31,12200,USD,1080,14,120_9999,MARRIED,c0,MM,60_120,60_120,EOG,51_100,3833,550,overhaul,good
Female,31,3800,USD,1080,17,120_9999,MARRIED,c1,SP,24_60,24_60,WB,31_50,1931,740,overhaul,good
Female,37,5000,USD,3600,15,120_9999,MARRIED,c2,AS,12_18,120_9999,ASTL,100_9999,2230,1450,flat,good
Male,37,10500,USD,1800,15,120_9999,MARRIED,c1,TM,60_120,60_120,ITT,0_5,3143,382,flat,good
Male,34,5900,USD,2520,15,60_120,MARRIED,c1,MM,24_60,60_120,FMCG,100_9999,2084,724,flat,good
Male,31,9300,USD,1080,17,120_9999,MARRIED,c1,TM,24_60,24_60,WB,0_5,5632,382,consumer_credit,bad
Male,34,2000,USD,360,17,120_9999,DIVORCED,c0,TM,12_18,12_24,WB,0_5,6069,914,consumer_credit,good
Female,30,3200,USD,1080,17,120_9999,MARRIED,c0,TM,0_3,0_12,WB,0_5,1513,382,consumer_credit,good
Female,45,15000,EUR,1080,16,120_9999,SINGLE,c0,TM,60_120,60_120,OT,6_15,5296,430,overhaul,good
